variant_id,variable,level,jd_id,jd_category,model,score
baseline,baseline,baseline,jd_aa7db163f8ec8280,data,tfidf,0.02484184966385776
baseline,baseline,baseline,jd_accb9b3e7afc89ab,consulting,tfidf,0.012636983957124254
baseline,baseline,baseline,jd_ad7a498a86a97f6d,swe,tfidf,0.02451631166043706
baseline,baseline,baseline,jd_adf671f33633aeb3,product,tfidf,0.023642813702972703
baseline,baseline,baseline,jd_af2cd3f93672d678,product,tfidf,0.014428956312743752
baseline,baseline,baseline,jd_b0b38e998fefdaf3,swe,tfidf,0.013643026761308403
baseline,baseline,baseline,jd_b156815080a77ad9,data,tfidf,0.03247087785256525
baseline,baseline,baseline,jd_b333deab4ad74b36,swe,tfidf,0.02688929784376813
baseline,baseline,baseline,jd_b5645d45d9247adb,data,tfidf,0.024940867483977773
baseline,baseline,baseline,jd_b5f37d67ce6366c8,swe,tfidf,0.0302632608242204
baseline,baseline,baseline,jd_b698bb86e88e82cc,swe,tfidf,0.030803162465635085
baseline,baseline,baseline,jd_b6be316e5e07173f,consulting,tfidf,0.014152624140226978
baseline,baseline,baseline,jd_b71cb8e89feec609,product,tfidf,0.021772471140174644
baseline,baseline,baseline,jd_b7c0baacabf16dbf,product,tfidf,0.02197231089024274
baseline,baseline,baseline,jd_b7f4c2024375b374,data,tfidf,0.03441749025624205
baseline,baseline,baseline,jd_b88035320b906600,unclassified,tfidf,0.012163889705950948
baseline,baseline,baseline,jd_bb818db46b233441,swe,tfidf,0.023903164017450237
baseline,baseline,baseline,jd_bbcdc871f962dac5,product,tfidf,0.026388810022044278
baseline,baseline,baseline,jd_bda965ac0ce26820,data,tfidf,0.023440901944052735
baseline,baseline,baseline,jd_bf59b28eeeb8b5d0,consulting,tfidf,0.01564604855787088
baseline,baseline,baseline,jd_c03dcd9cbe5575a5,swe,tfidf,0.02021009518718217
baseline,baseline,baseline,jd_c295be02dc4913df,data,tfidf,0.021251665242854857
baseline,baseline,baseline,jd_c3146f37eb456132,data,tfidf,0.022349676835632524
baseline,baseline,baseline,jd_c3cbd34781b23fb5,data,tfidf,0.024859727843399966
baseline,baseline,baseline,jd_c4dc2da6280be68b,data,tfidf,0.02794397476413597
baseline,baseline,baseline,jd_c5ed1d4c1058dd06,data,tfidf,0.02077536307635236
baseline,baseline,baseline,jd_c6463c037cdf527a,product,tfidf,0.026350305225905375
baseline,baseline,baseline,jd_c738a90551c4ff2a,swe,tfidf,0.020282372166486932
baseline,baseline,baseline,jd_c79c4d80ccbd8243,swe,tfidf,0.0244985115516678
baseline,baseline,baseline,jd_c83cc78de5081604,product,tfidf,0.02709079412081603
baseline,baseline,baseline,jd_c898326132c2f154,consulting,tfidf,0.025998064117510912
baseline,baseline,baseline,jd_c8c74b5960a2a9c2,data,tfidf,0.02344221831242151
baseline,baseline,baseline,jd_c90f5829a592b247,data,tfidf,0.030956250662823436
baseline,baseline,baseline,jd_c9524b0cf3167be7,unclassified,tfidf,0.03450404024057782
baseline,baseline,baseline,jd_ca208b6a36a6ae8e,consulting,tfidf,0.021136073051856663
baseline,baseline,baseline,jd_cb0262e7daa61fda,product,tfidf,0.0185949460837539
baseline,baseline,baseline,jd_cb16cecfaa45e639,consulting,tfidf,0.014981866017118905
baseline,baseline,baseline,jd_cb7918bc1c3612c6,swe,tfidf,0.026422739909121293
baseline,baseline,baseline,jd_cce49d8244a767a9,product,tfidf,0.030371436715949853
baseline,baseline,baseline,jd_cd575dee17230ea8,data,tfidf,0.030882766772228322
baseline,baseline,baseline,jd_d089a76bd624b7fc,swe,tfidf,0.02035831060017455
baseline,baseline,baseline,jd_d0e892f80697b6cb,product,tfidf,0.01655947679514021
baseline,baseline,baseline,jd_d3368eadbbaa458b,product,tfidf,0.024854744054774
baseline,baseline,baseline,jd_d3aa4076d9aac4b7,consulting,tfidf,0.02224093575063331
baseline,baseline,baseline,jd_d4a81a4b200f72d4,swe,tfidf,0.029274913537384588
baseline,baseline,baseline,jd_d4bb189741bdb0ae,product,tfidf,0.028956769713509026
baseline,baseline,baseline,jd_d5a16b7bc8ba6039,unclassified,tfidf,0.02735826745933337
baseline,baseline,baseline,jd_d5aeb2d931abde4b,data,tfidf,0.024448562844805972
baseline,baseline,baseline,jd_d5dee02141ed4987,data,tfidf,0.02948110238450781
baseline,baseline,baseline,jd_d5e9e9cdc4e5dec2,product,tfidf,0.028224852244354684
baseline,baseline,baseline,jd_d636300c35a03ea8,swe,tfidf,0.02703300234150308
baseline,baseline,baseline,jd_d6c1d6112a136d84,consulting,tfidf,0.023646938796912428
baseline,baseline,baseline,jd_d72594ad1673144d,product,tfidf,0.023048812417595117
baseline,baseline,baseline,jd_d7b2b519efca45c4,swe,tfidf,0.01786948280940365
baseline,baseline,baseline,jd_d8580bd2805ba37f,swe,tfidf,0.01691925826817376
baseline,baseline,baseline,jd_d8937e402bae19dd,data,tfidf,0.030112253327900473
baseline,baseline,baseline,jd_d9f7e99a04b50363,swe,tfidf,0.028135905661673975
baseline,baseline,baseline,jd_da03765cd166509d,data,tfidf,0.037255419166869835
baseline,baseline,baseline,jd_da97b72895297540,swe,tfidf,0.02489852914484877
baseline,baseline,baseline,jd_dde1ced0044c6e19,unclassified,tfidf,0.02129561288844298
baseline,baseline,baseline,jd_ddf7d4a51785055e,swe,tfidf,0.01846343461779976
baseline,baseline,baseline,jd_df2dd64d85690763,product,tfidf,0.025867531918367947
baseline,baseline,baseline,jd_e03fa04c4586b993,unclassified,tfidf,0.02465397409867834
baseline,baseline,baseline,jd_e0f599531e15022a,unclassified,tfidf,0.021291870475389735
baseline,baseline,baseline,jd_e16c972bb3cf5b35,unclassified,tfidf,0.013950189864943941
baseline,baseline,baseline,jd_e19f2cf94d5fc4ab,data,tfidf,0.024726149044510787
baseline,baseline,baseline,jd_e1ef16198080d5b0,data,tfidf,0.028057248157480674
baseline,baseline,baseline,jd_e4739ea52ce7e8f2,swe,tfidf,0.004255523195493116
baseline,baseline,baseline,jd_e518fac867df7886,data,tfidf,0.025968344352803305
baseline,baseline,baseline,jd_e58c43c547b00f86,product,tfidf,0.018349459130558174
baseline,baseline,baseline,jd_e592cfcc5d64f3bf,data,tfidf,0.03552807319794426
baseline,baseline,baseline,jd_e6b64a49a58c923b,data,tfidf,0.02618101052363403
baseline,baseline,baseline,jd_e723bf21ed78375f,unclassified,tfidf,0.02641076480171205
baseline,baseline,baseline,jd_e76ac42bf564af58,data,tfidf,0.032929270767964716
baseline,baseline,baseline,jd_e7bbebf12b32be5c,data,tfidf,0.022006219484720105
baseline,baseline,baseline,jd_e9a80fb8879ec352,consulting,tfidf,0.020253546238194708
baseline,baseline,baseline,jd_eb03bc54b248ce1b,unclassified,tfidf,0.023241216198462766
baseline,baseline,baseline,jd_ed316c66c64088ad,data,tfidf,0.019808999320242555
baseline,baseline,baseline,jd_ed98561b3bca8a05,consulting,tfidf,0.012422829439176337
baseline,baseline,baseline,jd_eff21b1d54c3b85d,product,tfidf,0.016130010086384313
baseline,baseline,baseline,jd_f002d62a3a5b0dd1,swe,tfidf,0.025555473724109632
baseline,baseline,baseline,jd_f050094483bdd1a0,swe,tfidf,0.028315450118264942
baseline,baseline,baseline,jd_f0cdc8fe53fb98cc,unclassified,tfidf,0.019152424704155513
baseline,baseline,baseline,jd_f0ce305dadb999b9,data,tfidf,0.025276638038564895
baseline,baseline,baseline,jd_f12c2a3f99729193,swe,tfidf,0.018915362368626898
baseline,baseline,baseline,jd_f17267b5f3d94821,swe,tfidf,0.028694507423651535
baseline,baseline,baseline,jd_f21e184efb3f08e5,swe,tfidf,0.029469852033801383
baseline,baseline,baseline,jd_f3e9875c5876bae8,data,tfidf,0.036173259482186276
baseline,baseline,baseline,jd_f432df00bf491897,data,tfidf,0.02097348899432733
baseline,baseline,baseline,jd_f486703d1b3395d1,consulting,tfidf,0.022807535780681825
baseline,baseline,baseline,jd_f6d49acd09c13943,data,tfidf,0.03685225867588697
baseline,baseline,baseline,jd_f99de49398fa1597,unclassified,tfidf,0.022469919612965027
baseline,baseline,baseline,jd_fc89e57d87b9315c,consulting,tfidf,0.013766589564414681
baseline,baseline,baseline,jd_fea9e75a5e87826b,swe,tfidf,0.028650807624529904
name_english_01,name,english,jd_00a6a297acb71dd5,product,tfidf,0.017599129758118517
name_english_01,name,english,jd_020a83e03087d359,data,tfidf,0.03117482963652481
name_english_01,name,english,jd_02443fbcbc3e7b97,swe,tfidf,0.019739467827467227
name_english_01,name,english,jd_02b0803e16f61687,consulting,tfidf,0.016169090575392224
name_english_01,name,english,jd_03262d05379f7ecd,swe,tfidf,0.01766990193413721
name_english_01,name,english,jd_0357846a7e2f4d1d,swe,tfidf,0.027234337502825473
name_english_01,name,english,jd_038db4930aad500c,data,tfidf,0.02510175308331137
name_english_01,name,english,jd_03d2ab6009b864c3,data,tfidf,0.029986808482000533
name_english_01,name,english,jd_05a24407957e0691,data,tfidf,0.02777296563959126
name_english_01,name,english,jd_06231c926d5bf464,consulting,tfidf,0.011124899189680943
name_english_01,name,english,jd_069d277629f131f3,product,tfidf,0.02151864166258044
name_english_01,name,english,jd_06d329797bea5ccd,swe,tfidf,0.019049760030990393
name_english_01,name,english,jd_0770f5208e6871ac,swe,tfidf,0.02285961021115705
name_english_01,name,english,jd_07e862b2ecf89cbc,unclassified,tfidf,0.024745257073078925
name_english_01,name,english,jd_0916eaf4fe1092f2,product,tfidf,0.014412748915982194
name_english_01,name,english,jd_09dad3e0b0d9cd6a,consulting,tfidf,0.013390840073745445
name_english_01,name,english,jd_0a16c4c98c88d7a0,product,tfidf,0.024392413221739476
name_english_01,name,english,jd_0a609701913f5a75,swe,tfidf,0.0204930508228533
name_english_01,name,english,jd_0a9762d8843b83e0,data,tfidf,0.028444955143630612
name_english_01,name,english,jd_0bee3551a73d78a3,swe,tfidf,0.026430152404570393
name_english_01,name,english,jd_0ca483f637e33f13,data,tfidf,0.023834908528747225
name_english_01,name,english,jd_0d3ea6dbbc30153f,swe,tfidf,0.019006900168819063
name_english_01,name,english,jd_0eeb6575f56e7f69,unclassified,tfidf,0.019956755654665453
name_english_01,name,english,jd_0ef673fb285823ad,product,tfidf,0.028490758600923313
name_english_01,name,english,jd_0f13ca3eba207b16,consulting,tfidf,0.019828132328778014
name_english_01,name,english,jd_0f7579aec268be49,product,tfidf,0.018636982182970267
name_english_01,name,english,jd_0fa516910ac9b44a,swe,tfidf,0.026120500516994136
name_english_01,name,english,jd_0fd876fe87aca323,consulting,tfidf,0.021640936172562217
name_english_01,name,english,jd_1027baf4d50a7929,data,tfidf,0.02125351456804792
name_english_01,name,english,jd_1049b0f893728721,unclassified,tfidf,0.022841587423865935
name_english_01,name,english,jd_10d3553435c98af7,product,tfidf,0.016260594132021793
name_english_01,name,english,jd_14caadfd234d0a39,unclassified,tfidf,0.0043201229844826074
name_english_01,name,english,jd_167daabaa6d25236,product,tfidf,0.02053095542452389
name_english_01,name,english,jd_16bc5d0fc909aee1,unclassified,tfidf,0.0064151342130958945
name_english_01,name,english,jd_1768aaac673275f2,unclassified,tfidf,0.004565075484152479
